question,answer,source,alternative_questions
Можно ли размещать сторонние тексты в Викиучебнике?,"Текст может быть размещён в русском Викиучебнике только при выполнении одного из следующих условий:
если этот текст является общественным достоянием (как в США, так и в стране происхождения);
если этот текст не является объектом авторского права (например, в ряде стран к таким текстам относят законы и другие официальные документы, фольклор, расписания движения транспорта и телепередач);
если вы являетесь автором этого текста и согласны с его распространением, изменением и использованием (в том числе коммерческим) на условиях лицензии CC BY-SA;
если правообладатель этого текста дал разрешение на распространение, изменение и использование (в том числе коммерческое) на условиях лицензии CC BY-SA (и, возможно, GFDL).",Авторские права,Как добавить чужой текст в Викиучебник?;Можно ли копировать текст из других источников в Викиуучебник?
В каких целях разрешено использовать тексты из Викиучебника?,"Разрешено распространение, изменение и использование в любых (в том числе коммерческих) целях при условии, что лицензии остаются в силе и указывается ссылка на Викиучебник как на источник. В Викиучебнике отсутствуют неизменяемые разделы, а также вступительные и заключительные тексты. В соответствии с соглашениями Бернской конвенции по охране литературных и художественных произведений, авторское право распространяется по умолчанию. Это значит, что даже произведения, не обозначенные знаком охраны авторского права, могут быть объектом авторского права.",Авторские права,Как можно использовать материалы Викиучебника?;Разрешено ли коммерческое использование статей из Викиучебника?
Какие лицензии применяются к текстам на Викиучебнике?,"Лицензии CC BY-SA 4.0 и GFDL, по которым публикуются и распространяются текстовые материалы русского Викиучебника.",Авторские права,Под какой лицензией выходит контент Викиучебника?;Какие лицензии у текстов Викиучебника?
Можно ли копировать текст из других статей в свою?,"При копировании текстов из других статей Викиучебника или при переводе текстов из других языковых разделов Викиучебника необходимо также соблюдать авторские права, а именно выполнять требования Условий использования и лицензий GNU FDL и Creative Commons «С указанием авторства — С сохранением условий» и указывать авторов статьи, например, через добавление ссылки на историю правок другой статьи (на странице обсуждения с помощью шаблона {{Переведённая статья}} или в комментариях к правке) или через прямое перечисление основных авторов заимствованного материала.
",Авторские права,Как правильно скопировать текст из другой статьи Викиучебника?;Можно ли использовать текст из другой статьи без указания авторства?
Какая ответсвенность за нарушение авторских прав?,"За нарушение авторских прав правилами Викиучебника предусмотрены административные меры воздействия, вплоть до полного запрещения нарушителю доступа к сайту.

Вне Викиучебника за нарушение авторских прав предусмотрены меры административной, уголовной и гражданской ответственности.

Административные и уголовные дела рассматриваются по месту совершения правонарушения, а гражданские иски — по месту жительства (нахождения) нарушителя.",Авторские права,Что будет за нарушение авторских прав в Викиучебнике?;Какие наказания за копирование без разрешения?
Когда можно использовать несвободное изображение вместо свободного?,"Несвободный медиа-файл может использоваться только в том случае, если свободная, соответствующая условиям энциклопедичности, замена (альтернатива) для него не существует в данный момент или не может появиться в ближайшем будущем (например, в течение месяца). Если несвободный материал каким-либо образом может быть преобразован в свободный, это должно быть сделано вместо применения концепции добросовестного использования. Несвободный материал всегда должен заменяться более свободным, если таковой становится доступным и имеет приемлемое качество, то есть качество, достаточное для достижения энциклопедической цели. Для быстрой проверки необходимо спросить себя: «Возможно ли заменить этот материал на другой, дающий тот же эффект?» — Если ответ будет «Да», то использование медиа-файла не отвечает условию добросовестности, и загружать его нельзя.",Критерии добросовестного использования,В каких случаях допустимо использовать несвободную картинку?;Можно ли загрузить несвободное изображение если нет свободного?
Как использование несвободного материала влияет на его коммерческую ценность?,"Использование несвободного материала не должно уменьшать коммерческую ценность исходного произведения, либо заменять его приобретение.",Критерии добросовестного использования,Можно ли использовать несвободный файл если это навредит продажам оригинала?;Влияет ли использование на стоимость оригинала?
Сколько несвободных файлов можно использовать на одной странице?,"Количество несвободных медиа-файлов на одной странице должно быть минимальным. Если для её иллюстрации необходим только один несвободный медиа-файл, их не должно быть больше. Если для иллюстрации статьи достаточно использования только свободных медиа-файлов, несвободные не должны использоваться",Критерии добросовестного использования,Какое максимальное количество несвободных изображений на странице?;Можно ли использовать несколько несвободных картинок в одной статье?
Какое качество должно быть у несвободного изображения?,Разрешение/качество должно быть минимально возможным для выполнения поставленной задачи.,Критерии добросовестного использования,В каком качестве можно загружать несвободные изображения?;Должны ли несвободные файлы быть высокого качества?
"Можно ли использовать материал, который нигде не публиковался?",Нет. Материал должен быть опубликован где-либо ранее.,Критерии добросовестного использования,Можно ли загружать несвободный файл если он нигде не публиковался?;Принимаются ли неопубликованные материалы?
